기간,자치구,동,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
2021.3/4,광진구,중곡3동,"8,466","4,247","1,996","1,160",836,189,28,8,2,0,0
2021.3/4,광진구,중곡4동,"13,167","5,179","3,281","2,481","1,719",387,92,21,4,2,1
2021.3/4,광진구,능동,"6,410","3,719","1,308",728,495,114,37,7,2,0,0
2021.3/4,광진구,구의1동,"12,146","6,998","2,449","1,419",982,232,50,11,2,0,3
2021.3/4,광진구,구의2동,"11,593","4,258","2,741","2,209","1,849",409,89,30,4,0,4
2021.3/4,광진구,구의3동,"12,095","4,203","2,650","2,455","2,234",437,82,25,7,1,1
2021.3/4,광진구,광장동,"11,953","2,276","2,075","3,068","3,709",640,148,25,7,2,3
2021.3/4,광진구,자양1동,"11,907","6,355","2,499","1,578","1,151",267,45,5,5,1,1
2021.3/4,광진구,자양2동,"11,042","4,181","2,627","2,115","1,661",349,82,24,2,0,1
2021.3/4,광진구,자양3동,"11,107","3,136","2,598","2,414","2,400",418,97,33,6,4,1
2021.3/4,광진구,자양4동,"9,636","5,307","2,045","1,248",805,177,40,11,2,0,1
2021.3/4,동대문구,회기동,"6,533","4,451",930,557,451,111,25,5,2,1,0
2021.3/4,동대문구,휘경1동,"7,438","4,259","1,303",899,754,174,36,12,1,0,0
2021.3/4,동대문구,휘경2동,"12,124","6,198","2,228","1,763","1,499",345,73,12,5,0,1
2021.3/4,동대문구,청량리동,"9,684","4,776","2,237","1,408",944,250,58,8,3,0,0
2021.3/4,동대문구,용신동,"18,585","11,832","3,255","1,863","1,246",298,71,14,6,0,0
2021.3/4,동대문구,제기동,"13,440","7,499","2,724","1,634","1,168",314,79,16,2,3,1
2021.3/4,동대문구,전농1동,"14,918","7,437","3,140","2,264","1,613",372,60,22,6,2,2
2021.3/4,동대문구,전농2동,"7,651","2,293","1,953","1,617","1,365",336,72,10,4,0,1
2021.3/4,동대문구,답십리2동,"12,669","4,660","3,221","2,424","1,825",415,98,19,6,1,0
2021.3/4,동대문구,장안1동,"18,310","8,171","4,159","3,034","2,251",563,100,25,5,2,0
2021.3/4,동대문구,장안2동,"14,007","5,031","3,199","2,816","2,328",479,116,31,4,2,1
2021.3/4,동대문구,이문1동,"10,431","6,479","1,760","1,052",877,194,47,15,3,3,1
2021.3/4,동대문구,이문2동,"8,728","3,231","2,058","1,618","1,395",329,70,21,3,2,1
2021.3/4,동대문구,답십리1동,"13,073","5,284","2,804","2,514","1,901",450,87,22,8,2,1
2021.3/4,중랑구,면목2동,"12,160","5,809","2,808","1,871","1,312",293,53,10,4,0,0
2021.3/4,중랑구,면목4동,"9,148","3,919","2,265","1,568","1,083",246,50,16,0,1,0
2021.3/4,중랑구,면목5동,"6,455","2,238","1,644","1,361",963,212,27,10,0,0,0
2021.3/4,중랑구,면목7동,"10,625","4,681","2,651","1,757","1,217",249,58,7,5,0,0
2021.3/4,중랑구,상봉1동,"10,291","3,354","2,569","2,186","1,784",317,63,13,4,1,0
2021.3/4,중랑구,상봉2동,"12,248","7,535","2,489","1,306",716,157,34,9,2,0,0
2021.3/4,중랑구,중화1동,"9,113","3,560","2,365","1,661","1,200",266,42,15,3,1,0
2021.3/4,중랑구,중화2동,"13,669","7,320","3,127","1,787","1,126",245,47,10,3,3,1
2021.3/4,중랑구,묵1동,"14,849","5,256","3,526","2,870","2,444",590,120,35,4,4,0
2021.3/4,중랑구,묵2동,"9,300","4,177","2,300","1,509","1,008",245,52,5,1,2,1
2021.3/4,중랑구,망우3동,"8,248","3,846","1,993","1,323",844,188,45,7,1,1,0
2021.3/4,중랑구,신내1동,"14,606","3,711","3,680","3,016","3,083",890,170,44,8,2,2
2021.3/4,중랑구,신내2동,"9,037","3,112","2,390","1,833","1,372",266,49,9,5,0,1
2021.3/4,중랑구,면목본동,"17,723","8,977","4,126","2,518","1,649",362,69,17,3,1,1
2021.3/4,중랑구,면목3.8동,"12,698","6,029","3,137","1,900","1,304",249,63,14,1,1,0
2021.3/4,중랑구,망우본동,"15,327","7,182","3,447","2,421","1,746",432,75,19,4,0,1
2021.3/4,성북구,돈암1동,"6,122","1,831","1,673","1,270","1,051",227,57,9,1,2,1
2021.3/4,성북구,돈암2동,"8,624","1,768","1,953","2,170","2,112",473,102,32,10,1,3
2021.3/4,성북구,안암동,"9,396","6,405","1,412",803,624,117,28,4,1,0,2
2021.3/4,성북구,보문동,"7,724","3,797","1,616","1,187",877,207,28,7,3,1,1
2021.3/4,성북구,정릉1동,"7,377","2,250","1,689","1,649","1,388",305,72,18,1,2,3
2021.3/4,성북구,정릉2동,"9,865","3,335","2,518","1,975","1,578",340,83,25,7,3,1
2021.3/4,성북구,정릉3동,"7,878","4,307","1,621",984,735,172,41,11,1,2,4
2021.3/4,성북구,정릉4동,"10,853","3,824","2,742","2,128","1,645",398,84,19,10,2,1
2021.3/4,성북구,길음1동,"12,555","2,521","2,534","3,103","3,544",691,127,19,8,2,6
2021.3/4,성북구,길음2동,"6,908","2,293","1,542","1,458","1,287",262,56,8,1,1,0
2021.3/4,성북구,월곡1동,"10,839","3,366","2,636","2,240","2,016",454,98,23,4,1,1
2021.3/4,성북구,월곡2동,"9,644","4,663","2,034","1,439","1,138",280,68,8,11,2,1
2021.3/4,성북구,장위1동,"10,739","3,991","2,607","1,997","1,660",385,71,21,5,2,0
2021.3/4,성북구,장위2동,"6,692","2,911","1,739","1,099",691,192,50,9,0,1,0
2021.3/4,성북구,장위3동,"6,541","2,109","1,388","1,425","1,280",274,50,12,2,1,0
2021.3/4,성북구,성북동,"8,234","4,014","1,829","1,188",873,235,68,14,8,0,5
2021.3/4,성북구,삼선동,"11,559","5,836","2,340","1,575","1,401",312,71,18,4,1,1
2021.3/4,성북구,동선동,"9,513","6,297","1,508",897,607,161,30,8,4,0,1
2021.3/4,성북구,종암동,"17,188","6,635","3,856","3,131","2,777",630,120,28,9,1,1
2021.3/4,성북구,석관동,"16,848","7,232","4,143","2,930","1,965",460,87,26,4,0,1
2021.3/4,강북구,번1동,"10,278","5,729","2,217","1,277",851,161,36,6,1,0,0
2021.3/4,강북구,번2동,"7,595","3,077","2,135","1,299",816,207,49,9,1,0,2
2021.3/4,강북구,번3동,"7,499","2,486","2,256","1,420","1,016",255,56,9,0,1,0
2021.3/4,강북구,수유1동,"10,341","4,891","2,493","1,587","1,020",267,61,12,2,3,5
2021.3/4,강북구,수유2동,"9,842","3,816","2,649","1,784","1,195",313,61,16,3,4,1
2021.3/4,강북구,수유3동,"12,949","7,362","2,690","1,622",966,248,46,7,5,2,1
2021.3/4,강북구,삼양동,"11,164","4,659","2,774","1,910","1,375",354,71,12,5,3,1
2021.3/4,강북구,미아동,"11,710","6,320","2,528","1,556","1,003",245,45,8,3,1,1
2021.3/4,강북구,송중동,"14,006","6,075","3,371","2,314","1,744",386,85,24,3,1,3
2021.3/4,강북구,송천동,"13,583","6,503","3,332","2,015","1,362",303,52,11,2,1,2
2021.3/4,강북구,삼각산동,"11,550","2,615","2,580","2,758","2,857",590,115,27,8,0,0
2021.3/4,강북구,우이동,"9,586","3,772","2,622","1,656","1,172",285,61,11,5,1,1
2021.3/4,강북구,인수동,"14,470","5,978","3,788","2,522","1,653",405,98,22,1,1,2
2021.3/4,도봉구,쌍문1동,"9,398","3,303","2,488","1,864","1,286",354,79,19,3,2,0
2021.3/4,도봉구,쌍문2동,"8,577","3,258","2,301","1,578","1,107",266,50,11,3,1,2
2021.3/4,도봉구,쌍문3동,"7,840","3,298","1,936","1,393",943,224,36,9,1,0,0
2021.3/4,도봉구,쌍문4동,"7,103","1,645","1,739","1,708","1,642",309,52,6,2,0,0
2021.3/4,도봉구,방학1동,"12,908","4,992","3,174","2,295","1,843",476,100,17,6,2,3
2021.3/4,도봉구,방학2동,"9,375","3,918","2,437","1,608","1,062",285,48,12,3,2,0
2021.3/4,도봉구,방학3동,"10,008","1,989","2,610","2,458","2,278",524,113,27,6,3,0
